기관코드,전체기관명,최하위기관명,폐지구분,등록자
7530764,경기도교육청 상원고등학교,상원고등학교,현존,
7530765,경기도교육청 성포고등학교,성포고등학교,현존,
7530766,경기도교육청 군서고등학교,군서고등학교,현존,
7530767,경기도교육청 성지고등학교,성지고등학교,현존,
7530768,경기도교육청 홍천고등학교,홍천고등학교,현존,
7530769,경기도교육청 현암고등학교,현암고등학교,현존,
7530770,경기도교육청 성사고등학교,성사고등학교,현존,
7530771,경기도교육청 평내고등학교,평내고등학교,현존,
7530772,경기도교육청 호평고등학교,호평고등학교,현존,
7530773,경기도교육청 효자고등학교,효자고등학교,현존,
7530774,경기도교육청 교하고등학교,교하고등학교,현존,
7530775,경기도교육청 한겨레고등학교,한겨레고등학교,현존,
7530776,경기도교육청 청심국제고등학교,청심국제고등학교,현존,
7530777,경기도교육청 고양예술고등학교,고양예술고등학교,현존,
7530778,경기도교육청 용인백현고등학교,용인백현고등학교,현존,
7530782,경기도교육청 양영디지털고등학교,양영디지털고등학교,현존,
7530783,경기도교육청 남양고등학교,남양고등학교,현존,
7530784,경기도교육청 오산정보고등학교,오산정보고등학교,현존,
7530785,경기도교육청 대부고등학교,대부고등학교,현존,
7530786,경기도교육청 광주중앙고등학교,광주중앙고등학교,현존,
7530787,경기도교육청 안성두원공업고등학교,안성두원공업고등학교,현존,
7530788,경기도교육청 창명여자고등학교,창명여자고등학교,현존,
7530789,경기도교육청 포천일고등학교,포천일고등학교,현존,
7530790,경기도교육청 일동고등학교,일동고등학교,현존,
7530791,경기도교육청 조종고등학교,조종고등학교,현존,
7530792,경기도교육청 고양여자고등학교,고양여자고등학교,현존,
7530806,경기도교육청 송우고등학교,송우고등학교,현존,
7530818,경기도교육청 인덕원고등학교,인덕원고등학교,현존,
7530819,경기도교육청 현화고등학교,현화고등학교,현존,
7530820,경기도교육청 동탄고등학교,동탄고등학교,현존,
7530821,경기도교육청 안화고등학교,안화고등학교,현존,
7530822,경기도교육청 운암고등학교,운암고등학교,현존,
